# z, m_eff, m_err
2.189999999999999933e-02 1.552799048079999622e+01 1.907609268034685390e-01
3.200000000000000067e-02 1.626749732409999538e+01 1.760216542852259258e-01
1.510000000000000057e-02 1.520487528810000200e+01 2.157778156558177174e-01
1.919999999999999832e-02 1.517056233319999947e+01 1.993617758972051623e-01
2.659999999999999865e-02 1.600249358969999847e+01 1.802311680869224941e-01
3.769999999999999740e-02 1.647421443250000195e+01 2.956326588775672337e-01
2.469999999999999973e-02 1.559269282769999521e+01 1.840820247984057134e-01
2.419999999999999929e-02 1.586838058289999864e+01 1.826554145904441817e-01
3.660000000000000059e-02 1.665029065389999730e+01 1.716063164474175007e-01
2.290000000000000022e-02 1.581762607019999578e+01 1.854605158700195211e-01
3.119999999999999857e-02 1.656185856219999764e+01 1.763331890375914868e-01
1.499999999999999944e-02 1.479041096429999769e+01 2.154873774262915098e-01
3.409999999999999837e-02 1.644947476399999786e+01 1.800855345746283642e-01
2.510000000000000078e-02 1.562727523669999741e+01 1.817161971749564342e-01
1.890000000000000013e-02 1.505370165989999620e+01 2.117079785530270875e-01
2.980213690100000021e-02 1.614992171039999747e+01 1.258546582673997216e-01
3.213401686140000130e-02 1.605712788530000168e+01 1.309936377300474353e-01
2.756872591090000005e-02 1.615447181320000070e+01 1.315835004494752547e-01
4.696733461560000100e-02 1.717341344649999613e+01 1.143158206318027892e-01
1.831523203619999859e-02 1.505075489959999757e+01 1.632451916795192859e-01
8.004814400210000236e-02 1.836470933529999527e+01 1.062900437017550020e-01
2.418529908019999980e-02 1.573132427499999508e+01 1.367010949687451349e-01
1.502704276320000060e-02 1.462919150229999943e+01 1.806257851697370687e-01
2.839602681160000031e-02 1.622714846939999589e+01 1.287429997463479803e-01
4.497667261129999899e-02 1.722939541579999556e+01 1.124193379236924500e-01
3.291237108810000228e-02 1.664685201729999520e+01 1.218646526379189299e-01
7.535011198150000367e-02 1.825908991679999716e+01 1.065838108293933190e-01
2.037472452989999919e-02 1.533544384729999521e+01 1.486618159276783813e-01
2.297116757819999897e-02 1.581288295099999530e+01 1.389189001441489824e-01
2.680919748050000079e-02 1.593915053950000171e+01 1.313514027224785274e-01
1.793128336260000136e-02 1.502882000269999807e+01 1.582829520976242188e-01
4.839219539540000337e-02 1.736483438240000154e+01 1.229323635600433479e-01
5.668336707519999740e-02 1.764262306710000061e+01 1.140859823938558532e-01
6.386408369639999527e-02 1.799494161209999632e+01 1.233196654662445657e-01
4.371891148950000222e-02 1.706556601579999821e+01 1.307037727980871478e-01
8.568945936069999325e-02 1.867641340610000000e+01 1.201702059607516332e-01
9.390863189049999948e-02 1.885182051410000170e+01 1.217082086845826111e-01
8.585464414370000408e-02 1.863144412120000126e+01 1.165181319083573586e-01
6.183576469379999802e-02 1.780999448060000034e+01 1.195068153106349368e-01
6.644031234019999455e-02 1.805110505480000072e+01 1.213491702443437459e-01
8.901942929389999870e-02 1.850745292859999935e+01 1.212041266144309043e-01
9.314940268549999625e-02 1.895991372499999628e+01 1.183202400522334330e-01
8.569611706520000038e-02 1.867279171070000032e+01 1.217259748987536694e-01
9.293681819969999702e-02 1.882483004039999841e+01 1.226751286185724932e-01
1.009150000000000047e-01 1.913574559539999953e+01 1.700014532001032364e-01
1.243999999999999967e-01 1.972378851119999510e+01 1.669856331982345898e-01
1.560999999999999888e-01 1.990825402220000129e+01 8.933215293851259897e-02
1.241000000000000020e-01 1.950103339579999684e+01 1.155756896393135419e-01
1.441000000000000059e-01 1.951504229849999561e+01 1.596219970620386952e-01
1.298999999999999877e-01 1.965818546899999930e+01 1.328758649333348640e-01
1.462902960680000086e-01 2.023800954879999736e+01 1.239344923057984910e-01
1.292782066339999980e-01 1.959700094889999988e+01 1.377100689387319443e-01
1.027150339350000052e-01 1.916625958879999914e+01 1.235888893690672979e-01
2.425046804759999897e-01 2.080944655369999552e+01 1.538679769399614317e-01
1.130426446370000060e-01 1.923045412760000161e+01 1.229535137900314573e-01
1.456685472610000087e-01 1.973571570300000033e+01 1.292791330866642219e-01
2.155433209529999949e-01 2.097552942359999761e+01 1.433812650848488024e-01
1.176253287640000034e-01 1.925841850809999656e+01 1.175041431422624433e-01
1.822182395599999949e-01 2.027281884379999966e+01 1.230476095969413458e-01
1.417879991260000139e-01 1.995281133290000142e+01 1.232294784005263516e-01
2.327811071820000133e-01 2.088352909029999793e+01 1.547246218658528405e-01
1.518578946649999928e-01 1.983478835899999737e+01 1.177336419019996000e-01
1.943165121419999919e-01 2.064052004150000030e+01 1.298859063972009897e-01
1.470251382680000107e-01 1.998258396679999649e+01 1.156172647783962476e-01
2.115869814999999932e-01 2.123932369239999574e+01 1.621245534381701159e-01
1.801197799679999934e-01 2.031757770349999603e+01 1.193908391397306423e-01
1.921499800439999961e-01 2.071821787819999727e+01 1.247484224397149427e-01
1.172773628889999947e-01 1.942493382479999653e+01 1.175937088970307742e-01
1.424046523999999980e-01 1.979547725109999945e+01 1.175536771790790108e-01
1.608618546360000012e-01 1.999817588919999523e+01 1.223789698066009152e-01
1.228288999700000023e-01 1.947878970079999661e+01 1.247270642312234140e-01
1.264731619009999974e-01 1.938946917609999687e+01 1.229179785261418495e-01
1.727422305559999927e-01 2.018193614209999609e+01 1.173572382752564175e-01
1.637958949870000069e-01 2.007356306080000152e+01 1.170448603396201936e-01
2.495110547920000033e-01 2.145992433279999645e+01 1.356812031590569623e-01
1.067123401030000002e-01 1.931566690130000197e+01 1.213869870581120169e-01
1.598899377480000050e-01 2.002958452620000074e+01 1.186039091541346430e-01
2.049796853489999904e-01 2.070350023459999633e+01 1.271176841802935664e-01
2.443788767969999887e-01 2.088093039379999638e+01 1.278786589370823346e-01
2.485081306759999997e-01 2.095117468380000147e+01 1.291774520478725929e-01
